M-ID,SMILE,P1,P2,P3,P4,P5
M360240,O=C(O)[C@H]1O[C@H]1C(=O)O,0,0,0,0,0
M865610,Cc1ccccc1-c1nccc(-n2ccnc2)n1,1,1,0,1,1
M271793,Cc1ccc(S(=O)(=O)NC(=O)Nc2ncn[nH]2)cc1,0,0,0,0,0
M689037,CC1(C)O[C@H]2O[C@@H]([C@H](O)CON3C(=O)c4ccccc4C3=O)[C@H](O)[C@H]2O1,0,0,0,0,0
M486282,Cc1ccnc2nc(C(=O)OCC(=O)Nc3ccc4c(c3)OC(F)(F)O4)nn12,1,0,0,0,0
M304255,COc1cc(CC(=O)O)ccc1O,0,0,0,0,0
M522573,CC(=O)NC1(c2ccc(F)cc2)CCN(C(=O)Nc2ccc(F)cc2F)CC1,0,1,0,0,0
M341147,COCC(=O)N1CCC2(CC1)CCN(C(=O)Nc1cccc(F)c1)CC2,0,0,0,0,0
M473113,COC(=O)C/C=C\[C@@H](C)[C@@H](/C=N\O[C@@H](C)c1cn([C@H](CO)Cc2ccccc2)nn1)NS(=O)(=O)c1ccc(C)cc1,0,0,0,0,1
M556188,C/N=C1\S/C(=C\c2ccc(Sc3ccc(Cl)cc3)o2)C(=O)N1C,1,0,1,0,0
M323177,COC(=O)N1CCC2(CCN(Cc3ccccc3)CC2)CC1,0,0,0,0,0
M901064,O=C(O)c1cc(C(=O)C(=O)c2cc(C(=O)O)c(O)c3ccccc23)c2ccccc2c1O,0,0,1,0,0
M678047,Cc1cccc(NC(=O)C2(c3ccc([N+](=O)[O-])cc3)CCCC2)c1,1,1,1,0,0
M404022,O=S(=O)(c1ccccc1)N1CCC2(CCN(c3cccc(-c4ccccc4)c3)CC2)CC1,0,0,0,0,0
M860842,C[C@@H](c1ccccc1)N1C(=O)[C@@H]2CC=C3C(=O)[C@H]4O[C@H]4[C@@H](O)[C@H]3[C@H]2C1=O,0,0,0,0,0
M563664,Cc1nc(Oc2ccc(Cl)cc2)c2oc3ccccc3c2n1,1,1,0,0,0
M996590,NOCC(=O)O,0,0,0,0,0
M149632,O=C(O)c1ccc2c(c1C(=O)O)C(=O)OC2(c1ccc(O)cc1)c1ccc(O)cc1,0,0,0,0,0
M936324,Cc1nc(N)nc(S)c1CCC(=O)O,0,0,0,0,0
M608344,CCOC(=O)C1=C(C)N=C2CC(c3ccc(OC)cc3)C(C(=O)OCC)C(O)=C2C1c1ccccn1,0,1,1,0,0
M851706,CS(=O)(=O)N1CCC2(CCN(Cc3ccc(C#N)cc3)CC2)CC1,0,0,0,0,0
M410757,CC(CCC(=O)O)(c1cc(Br)c(O)c(Br)c1)c1cc(Br)c(O)c(Br)c1,0,0,1,0,0
M837353,CCS(=O)(=O)N1CCC(C(=O)NCc2ccco2)CC1,0,0,0,0,0
M331573,COC(=O)[C@@]1(Cc2ccccc2)[C@H]2c3cc(C(=O)N4CCCC4)n(CC4CC4)c3C[C@H]2CN1C(=O)c1ccccc1,0,1,1,0,1
M841887,C[N+](C)(C)CCN[N+]1(C)CCCc2ccccc21,0,0,0,0,0
M594302,COc1ccccc1CNc1ccnc(-c2ccc(N(C)C)cc2)n1,1,1,0,1,1
M771918,C1CCN(CC[C@@H]2CCCCN2)CC1,0,0,0,0,0
M448145,O=C1c2ccccc2-c2cc([N+](=O)[O-])c([N+](=O)[O-])cc21,1,1,1,1,1
M345125,CCOc1ccc(C(=O)C2=C(O)C(=O)N(CC3CCCO3)C2c2ccc(C)o2)cc1,0,0,0,0,0
M987748,c1ccc2cc(-c3cc(-c4cc(-c5ccc6ccccc6c5)on4)no3)ccc2c1,1,0,0,0,0
M262819,C/C=C\C1=C(CO)[C@H](O)[C@H]2O[C@H]2[C@@H]1O,0,0,0,0,0
M259912,COC(=O)[C@@]1(Cc2ccccc2)[C@H]2c3cc(C(=O)N4CCCC4)n(Cc4ccccc4)c3C[C@H]2CN1C(=O)c1ccccc1,0,1,1,0,1
M142198,Nc1cc(C(=O)O)nc(O)n1,0,0,0,0,0
M681478,Cc1ccc(NC(=O)N/C=C/c2ccc(Cl)cc2)cc1,0,0,0,0,1
M580185,Cc1ccc(-c2cc(C(=O)NN=C3CCCC3)c3ccccc3n2)cc1,1,1,1,0,1
M591530,CCc1c(O)c2c(c(O)c1C(C)=O)C(=O)c1c(cc(O)c(C(=O)O)c1C(=O)O)C2=O,0,0,0,0,0
M194521,CC(=O)OC[C@@H]1O[C@@H](O/N=C2/C[C@@H](O)[C@@H](O)[C@@H]3[C@@H]4C(=O)N([C@@H](C)c5ccccc5)C(=O)[C@H]4CC[C@@H]23)[C@H](OC(C)=O)[C@H](OC(C)=O)[C@@H]1OC(C)=O,0,0,0,0,0
M124536,CNC[C@H](O)[C@H](O)[C@H](O)[C@H](O)CO,0,0,0,0,0
M411784,O=C1C2C3c4ccccc4C(c4ccccc43)C2C(=O)N1c1nc(-c2ccccc2)cs1,0,1,1,0,0
M249957,Fc1ccc(Nc2nc(-c3ccoc3)nc3ccccc23)cc1,1,0,0,0,1
M683565,O=C(Oc1ccccc1)N1CCC[C@@]2(CCN(c3ccccc3)C2)C1,0,0,0,0,1
